@relation InstanceResultListener

@attribute Key_Dataset {adult}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 20.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 30.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 40.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 50.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 60.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 70.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 80.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes'}
@attribute Key_Scheme_version_ID {-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

adult,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2683,573,0,82.40172,17.59828,0,0.46741,0.183056,0.384034,50.064179,89.819645,2592.90042,3613.195599,-1020.295179,0.796345,1.109704,-0.313358,1150.452693,0.353333,144450.990149,0.928803,2296,0.506378,397,0.493622,387,0.071197,176,0.852581,0.928803,0.889061,0.477595,0.884982,0.961744,0.824017,0.401592,0.598408,0.175983,0.812805,0.824017,0.813346,0.477595,0.88498,0.900425,0.731836,0.824017,0.021,0.01,0.015625,0.015625,15.625,15.625,11403,4371311,490159,91.277641,60.687961,?
adult,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2721,535,0,83.568796,16.431204,0,0.497402,0.17091,0.368291,46.742148,86.137697,2592.90042,3162.449577,-569.549156,0.796345,0.971268,-0.174923,1249.32396,0.383699,156865.279215,0.940939,2326,0.496173,389,0.503827,395,0.059061,146,0.856722,0.940939,0.896858,0.510892,0.895825,0.965125,0.835688,0.390923,0.609077,0.164312,0.82624,0.835688,0.82447,0.510892,0.895821,0.910308,0.746542,0.835688,0.021,0.01,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.506143,60.810811,?
adult,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2739,517,0,84.121622,15.878378,0,0.524502,0.167987,0.365486,45.942974,85.481679,2592.90042,3631.632953,-1038.732533,0.796345,1.115366,-0.319021,1285.25069,0.394733,161376.24413,0.93568,2313,0.456633,358,0.543367,426,0.06432,159,0.865968,0.93568,0.899475,0.533514,0.896443,0.965063,0.841216,0.362169,0.637831,0.158784,0.832796,0.841216,0.832748,0.533514,0.896432,0.908662,0.760914,0.841216,0.023,0.01,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.260442,60.503686,?
adult,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2708,548,0,83.169533,16.830467,0,0.495268,0.176675,0.376022,48.319069,87.94583,2592.90042,4397.84294,-1804.942519,0.796345,1.350689,-0.554344,1206.103036,0.370425,151438.454387,0.930016,2299,0.478316,375,0.521684,409,0.069984,173,0.859761,0.930016,0.89351,0.504069,0.887988,0.96243,0.831695,0.379995,0.620005,0.168305,0.821954,0.831695,0.822554,0.504069,0.887978,0.902098,0.746169,0.831695,0.023,0.01,0.03125,0,31.25,0,11403,4371311,490159,91.861179,60.718673,?
adult,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2733,523,0,83.937346,16.062654,0,0.507716,0.168434,0.366772,46.065057,85.782323,2592.90042,3247.457443,-654.557022,0.796345,0.997376,-0.201031,1276.376967,0.392008,160262.058401,0.944175,2334,0.491071,385,0.508929,399,0.055825,138,0.858404,0.944175,0.899249,0.522021,0.90032,0.967452,0.839373,0.38627,0.61373,0.160627,0.83062,0.839373,0.828178,0.522021,0.900316,0.913689,0.751668,0.839373,0.043,0.013,0.046875,0.015625,46.875,15.625,11403,4371311,490159,92.291155,60.503686,?
adult,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2706,550,0,83.108108,16.891892,0,0.493426,0.174689,0.374551,47.775782,87.601894,2592.90042,3832.853586,-1239.953166,0.796345,1.177166,-0.380821,1219.981655,0.374687,153181.055645,0.929612,2298,0.479592,376,0.520408,408,0.070388,174,0.859387,0.929612,0.893121,0.502194,0.888033,0.961854,0.831081,0.381061,0.618939,0.168919,0.821257,0.831081,0.821907,0.502194,0.888029,0.903929,0.745243,0.831081,0.021,0.01,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.10688,60.519042,?
adult,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2708,548,0,83.169533,16.830467,0,0.485941,0.17197,0.371896,47.032145,86.980894,2592.90042,3412.259709,-819.359288,0.796345,1.047991,-0.251646,1241.187155,0.3812,155843.62094,0.937702,2318,0.502551,394,0.497449,390,0.062298,154,0.85472,0.937702,0.89429,0.498745,0.895397,0.965225,0.831695,0.396544,0.603456,0.168305,0.821537,0.831695,0.820383,0.498745,0.89539,0.910453,0.74082,0.831695,0.023,0.01,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.168305,60.304054,?
adult,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2736,520,0,84.029484,15.970516,0,0.521514,0.166936,0.360693,45.655539,84.360611,2592.90042,3280.097231,-687.196811,0.796345,1.007401,-0.211056,1285.384706,0.394774,161393.071203,0.935275,2312,0.459184,360,0.540816,424,0.064725,160,0.865269,0.935275,0.898911,0.530576,0.898629,0.965762,0.840295,0.364203,0.635797,0.159705,0.831742,0.840295,0.831725,0.530576,0.898622,0.912558,0.759397,0.840295,0.021,0.009,0.015625,0.015625,15.625,15.625,11403,4371311,490159,93.151106,61.179361,?
adult,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2715,541,0,83.384521,16.615479,0,0.500523,0.176701,0.376994,48.326036,88.173113,2592.90042,3528.704893,-935.804473,0.796345,1.083755,-0.287409,1209.399166,0.371437,151852.316984,0.932443,2305,0.477041,374,0.522959,410,0.067557,167,0.860396,0.932443,0.894972,0.509922,0.887949,0.963069,0.833845,0.378443,0.621557,0.166155,0.82432,0.833845,0.824548,0.509922,0.887946,0.904697,0.748735,0.833845,0.016,0.009,0.015625,0,15.625,0,11403,4371311,490159,91.676904,60.826167,?
adult,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2728,528,0,83.783784,16.216216,0,0.524182,0.172776,0.367904,47.234367,86.009667,2594.557004,3901.134157,-1306.577154,0.796854,1.198137,-0.401283,1243.058695,0.381775,156089.689595,0.925132,2286,0.436943,343,0.563057,442,0.074868,185,0.869532,0.925132,0.896471,0.529578,0.888507,0.960842,0.837838,0.349649,0.650351,0.162162,0.829851,0.837838,0.831277,0.529578,0.888494,0.903765,0.761266,0.837838,0.018,0.009,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.751843,61.47113,?
adult,2,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2687,569,0,82.52457,17.47543,0,0.471128,0.181797,0.382271,49.719775,89.407365,2592.90042,3170.703037,-577.802616,0.796345,0.973803,-0.177458,1164.576707,0.357671,146224.403067,0.929612,2298,0.503827,395,0.496173,389,0.070388,174,0.853323,0.929612,0.889835,0.481394,0.884486,0.961017,0.825246,0.399461,0.600539,0.174754,0.814224,0.825246,0.814649,0.481394,0.884486,0.90074,0.733708,0.825246,0.022,0.011,0.015625,0.015625,15.625,15.625,11403,4371311,490159,91.523342,60.826167,?
adult,2,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2714,542,0,83.353808,16.646192,0,0.499839,0.176779,0.374511,48.347494,87.592348,2592.90042,3971.179878,-1378.279458,0.796345,1.21965,-0.423305,1204.818758,0.37003,151277.200319,0.932039,2304,0.477041,374,0.522959,410,0.067961,168,0.860344,0.932039,0.894757,0.509123,0.889411,0.963253,0.833538,0.37854,0.62146,0.166462,0.823985,0.833538,0.824279,0.509123,0.889399,0.904375,0.748407,0.833538,0.022,0.011,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.168305,61.302211,?
adult,2,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2719,537,0,83.507371,16.492629,0,0.500871,0.171825,0.370585,46.992483,86.674332,2592.90042,3666.119699,-1073.219279,0.796345,1.125958,-0.329613,1244.152876,0.382111,156215.997226,0.936084,2314,0.483418,379,0.516582,405,0.063916,158,0.859265,0.936084,0.896031,0.511785,0.893477,0.964698,0.835074,0.382408,0.617592,0.164926,0.825578,0.835074,0.825073,0.511785,0.893463,0.90764,0.748684,0.835074,0.021,0.014,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.260442,60.841523,?
adult,2,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2719,537,0,83.507371,16.492629,0,0.513986,0.174129,0.372676,47.622708,87.163316,2592.90042,3672.550071,-1079.649651,0.796345,1.127933,-0.331588,1233.451422,0.378824,154872.321305,0.924757,2286,0.447704,351,0.552296,433,0.075243,186,0.866894,0.924757,0.894891,0.519815,0.887608,0.96129,0.835074,0.358021,0.641979,0.164926,0.826592,0.835074,0.828039,0.519815,0.887599,0.904133,0.75607,0.835074,0.019,0.009,0.03125,0,31.25,0,11403,4371311,490159,92.260442,60.964373,?
adult,2,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2741,515,0,84.183047,15.816953,0,0.522241,0.166153,0.365566,45.441235,85.500244,2592.90042,3669.918511,-1077.018091,0.796345,1.127125,-0.33078,1287.748008,0.3955,161689.807742,0.939725,2323,0.466837,366,0.533163,418,0.060275,149,0.86389,0.939725,0.900213,0.533155,0.900662,0.967273,0.84183,0.368942,0.631058,0.15817,0.833388,0.84183,0.832453,0.533155,0.900648,0.91297,0.759507,0.84183,0.023,0.012,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.076167,59.628378,?
adult,2,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,20220425.1446,29304,3256,2731,525,0,83.875921,16.124079,0,0.511554,0.167613,0.362036,45.840586,84.67469,2592.90042,3041.508388,-448.607967,0.796345,0.934124,-0.137779,1283.859775,0.394306,161201.600675,0.938916,2321,0.477041,374,0.522959,410,0.061084,151,0.861224,0.938916,0.898394,0.522933,0.898684,0.96583,0.838759,0.376884,0.623116,0.161241,0.829829,0.838759,0.828872,0.522933,0.898682,0.912565,0.75403,0.838759,0.017,0.01,0.015625,0.015625,15.625,15.625,11403,4371311,490159,92.506143,61.22543,?
